id,name,created_at,updated_at,Prefixe,CatalogueID,Validité (Mois),Type de validité,Durée,Renouvelable,Pré-requis,Documentation,Identifiant de l'élément,link to Session de formation,Commentaire,link to Formations des bénévoles
18179361973,S'initier à la sécurité civile,2025-10-14T11:45:18Z,2026-02-27T02:16:22Z,S.C.,,,Pertpétuelle,1.75,Non,,,18179361973,,Formation offerte en ligne sur le site de Centre RISC.,
18184747069,Prévention et sécurité incendie (Axc-ÉvaQ),2025-10-14T19:32:31Z,2025-11-28T21:38:02Z,S.C.,,,Pertpétuelle,0.75,Non,,,18184747069,,"Description
Cette formation en ligne est divisée en quatre sections : 

1- Rappel d’informations importantes sur la prévention des incendies 

2- Plan de sécurité en cas d’incendie : ce que vous devez faire

3- Évacuation : circonstances, mises en situation, vidéos

4- Synthèse et conclusion 

Objectifs
Fournir les outils nécessaires pour réagir adéquatement en cas d’incendie et pour procéder à une évacuation méthodique et sécuritaire. 

Clientèle cible
Formation pour les ainés habitant en résidence pour personnes âgées autonomes.",
18185654017,Camp de qualification MSP,2025-10-14T21:05:05Z,2026-02-27T11:47:33Z,S.C.,,,Pertpétuelle,16,Non,,,18185654017,,,
18189667728,Instructeur - Camp de qualification MSP,2025-10-15T11:43:16Z,2025-12-17T21:09:42Z,S.C.,,,Pertpétuelle,8,Non,,,18189667728,,,
18189700276,Le bénévole en sécurité civile (AQBRS),2025-10-15T11:48:55Z,2025-10-15T13:24:22Z,S.C.,,,Pertpétuelle,4,Non,,,18189700276,,,
10661186757,"Les inondations, introduction aux concepts de base",2025-11-28T21:34:32Z,2025-11-28T21:37:59Z,S.C.,,,Pertpétuelle,1.5,Non,,,10661186757,,Formation offerte sur la plateforme du Centre RISC,
10727357976,ICS-100 Introduction au système de commandement des interventions,2025-12-08T17:17:14Z,2026-01-06T12:00:52Z,S.C.,,,Pertpétuelle,8,Non,,,10727357976,,,
